C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4,1,0.25,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5,1,0.2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17,1,0.06,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,38,1,0.03,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,39,1,0.03,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,47,1,0.02,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,48,1,0.02,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,56,1,0.02,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,73,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,76,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,87,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,105,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,109,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,nnsp,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,117,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,118,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,128,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,131,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
0,tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,137,1,0.01,1.0,1.0,0.0,1.0,1.0,0.0,0.0,nmap.
