C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42
2,tcp,smtp,SF,4485,1125,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
0,tcp,auth,SF,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50,1,0.02,0.1,0.02,0.0,0.0,0.0,0.0,0.0,sendmail.
12,tcp,telnet,SF,154,300,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
2,tcp,smtp,SF,4485,1124,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,9,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
0,tcp,auth,SF,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,sendmail.
6,tcp,telnet,SF,154,300,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
0,tcp,auth,SF,9,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,sendmail.
2,tcp,smtp,SF,4485,641,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,255,7,0.03,0.02,0.0,0.0,0.01,0.0,0.01,0.0,sendmail.
3,tcp,telnet,SF,191,12615,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,7,0.03,0.02,0.0,0.0,0.01,0.14,0.01,0.43,sendmail.
9,tcp,smtp,SF,4485,631,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,41,151,0.2,0.12,0.02,0.01,0.0,0.0,0.0,0.0,sendmail.
0,tcp,auth,SF,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,sendmail.
2,tcp,telnet,SF,191,10914,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42,3,0.07,0.12,0.02,0.0,0.0,0.0,0.0,0.0,sendmail.
0,tcp,smtp,SF,4474,631,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,6,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
0,tcp,auth,SF,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,255,2,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
1,tcp,telnet,SF,191,10965,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
2,tcp,smtp,SF,4485,1125,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,4,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,sendmail.
0,tcp,auth,SF,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,sendmail.
