C6,C42
146,normal.
146,normal.
146,normal.
146,snmpgetattack.
146,snmpgetattack.
146,snmpgetattack.
0,normal.
146,normal.
146,snmpgetattack.
185,normal.
146,snmpgetattack.
260,normal.
146,normal.
146,snmpgetattack.
329,normal.
13787,normal.
3542,normal.
753,normal.
146,snmpgetattack.
146,snmpgetattack.
9235,normal.
146,snmpgetattack.
185,normal.
8841,normal.
19564,normal.
0,normal.
146,normal.
0,normal.
0,normal.
146,snmpgetattack.
146,snmpgetattack.
146,normal.
146,snmpgetattack.
336,normal.
182,normal.
146,normal.
278,normal.
330,normal.
765,normal.
680,normal.
2060,normal.
14497,normal.
261,normal.
7504,normal.
0,normal.
677,normal.
146,normal.
1528,normal.
146,snmpgetattack.
146,snmpgetattack.
753,normal.
146,snmpgetattack.
4199,normal.
146,snmpgetattack.
330,normal.
146,snmpgetattack.
2367,normal.
695,normal.
198,normal.
146,snmpgetattack.
146,snmpgetattack.
146,normal.
3817,normal.
2211,normal.
3665,normal.
675,normal.
662,normal.
2172,normal.
1528,normal.
5381,normal.
146,normal.
333,normal.
329,normal.
146,normal.
146,snmpgetattack.
668,normal.
525,normal.
259,normal.
662,normal.
0,normal.
0,normal.
146,normal.
0,normal.
146,normal.
146,snmpgetattack.
146,snmpgetattack.
146,normal.
146,normal.
110,normal.
377,normal.
146,snmpgetattack.
0,normal.
146,normal.
2178,normal.
1010,normal.
0,normal.
107,normal.
146,normal.
2586,normal.
329,normal.
0,normal.
0,normal.
146,snmpgetattack.
45,normal.
332,normal.
112,normal.
325,normal.
146,normal.
115,normal.
481,normal.
44,normal.
938,normal.
289,normal.
1745,normal.
146,normal.
146,normal.
146,snmpgetattack.
958,normal.
1731,normal.
938,normal.
921,normal.
3301,normal.
146,normal.
247,normal.
35,normal.
146,normal.
146,snmpgetattack.
475,normal.
146,normal.
146,normal.
146,normal.
146,normal.
332,normal.
146,normal.
2006,normal.
20554,normal.
115,normal.
1401,normal.
283,normal.
188,normal.
1743,normal.
117,normal.
146,snmpgetattack.
117,normal.
146,normal.
0,normal.
115,normal.
114,normal.
146,snmpgetattack.
146,normal.
606,normal.
396,normal.
2650,normal.
349,normal.
9885,normal.
345,normal.
0,normal.
146,normal.
0,normal.
146,normal.
294,normal.
631,normal.
110,normal.
6787,normal.
412,normal.
115,normal.
146,snmpgetattack.
145,normal.
294,normal.
2199,normal.
383476,normal.
333,normal.
146,normal.
1432,normal.
5141,normal.
146,snmpgetattack.
4191,normal.
19012,normal.
146,normal.
321,normal.
5200,normal.
6924,normal.
146,snmpgetattack.
110,normal.
113,normal.
146,normal.
3113,normal.
264,normal.
2026,normal.
115,normal.
146,snmpgetattack.
146,snmpgetattack.
2393,normal.
308,normal.
146,normal.
0,normal.
2219,normal.
0,normal.
0,normal.
146,snmpgetattack.
412,normal.
3313,normal.
1512,normal.
799,normal.
1733,normal.
327,normal.
673,normal.
1549,normal.
371,normal.
22633,normal.
2427,normal.
379,normal.
1707,normal.
603,normal.
146,snmpgetattack.
6839,normal.
285,normal.
146,normal.
27,normal.
391,normal.
1289,normal.
1713,normal.
292,normal.
273,normal.
19012,normal.
146,snmpgetattack.
354,normal.
1053,normal.
821,normal.
6248,normal.
2521,normal.
327,normal.
407,normal.
193,normal.
603,normal.
2427,normal.
146,normal.
525,normal.
146,snmpgetattack.
9189,normal.
741,normal.
146,snmpgetattack.
146,normal.
2427,normal.
146,snmpgetattack.
146,snmpgetattack.
14274,normal.
2427,normal.
492,normal.
667,normal.
334,normal.
6104,normal.
146,normal.
110,normal.
431,normal.
1197,normal.
146,snmpgetattack.
1574,normal.
382,normal.
1743,normal.
633,normal.
124,normal.
115,normal.
146,normal.
4,normal.
146,snmpgetattack.
32473,normal.
146,snmpgetattack.
6104,normal.
353,normal.
12502,normal.
873,normal.
146,snmpgetattack.
4555,normal.
146,normal.
329,normal.
283,normal.
1812,normal.
406,normal.
372,normal.
468,normal.
1791,normal.
699,normal.
115,normal.
302,normal.
146,normal.
13166,normal.
603,normal.
1797,normal.
278,normal.
289,normal.
1745,normal.
675,normal.
146,snmpgetattack.
810,normal.
117,normal.
117,normal.
146,snmpgetattack.
1697,normal.
1850,normal.
283,normal.
897,normal.
146,snmpgetattack.
101,normal.
452,normal.
188,normal.
197,normal.
1161,normal.
196,normal.
1549,normal.
402,normal.
1134,normal.
2427,normal.
17455,normal.
2348,normal.
524,normal.
1134,normal.
371,normal.
1193,normal.
3548,normal.
13425,normal.
146,snmpgetattack.
146,snmpgetattack.
821,normal.
403,normal.
401,normal.
4841,normal.
146,snmpgetattack.
146,normal.
327,normal.
10022,normal.
146,snmpgetattack.
146,normal.
938,normal.
196,normal.
194,normal.
146,normal.
325,normal.
3188,normal.
818,normal.
9571,normal.
2096,normal.
331,normal.
146,normal.
320,normal.
258,normal.
0,normal.
564,normal.
394,normal.
1034,normal.
1667,normal.
146,snmpgetattack.
113,normal.
402,normal.
107,normal.
335,normal.
43,normal.
257,normal.
685,normal.
146,snmpgetattack.
392,normal.
22145,normal.
1667,normal.
146,normal.
7969,normal.
146,normal.
146,normal.
1047,normal.
146,snmpgetattack.
10572,normal.
334,normal.
146,snmpgetattack.
146,normal.
473,normal.
340,normal.
331,normal.
411,normal.
115,normal.
327,normal.
770,normal.
396,normal.
16082,normal.
313,normal.
146,snmpgetattack.
0,normal.
332,normal.
4378,normal.
753,normal.
146,normal.
115,normal.
146,normal.
16147,normal.
146,normal.
1047,normal.
329,normal.
107,normal.
482,normal.
330,normal.
0,named.
35576,named.
146,normal.
3973,normal.
1379,normal.
7873,normal.
903,normal.
146,snmpgetattack.
0,normal.
146,normal.
1437,normal.
146,snmpgetattack.
146,normal.
1850,normal.
188,normal.
675,normal.
